Name ,Scientific Name,Federal Status,State Status
American burying beetle,Nicrophorus americanus ,LT,
Scaleshell,Leptodea leptodon,LE,
Higgins Eye,Lampsilis higginsii,LE,
Dakota skipper,Hesperia dacotae,LT,
Poweshiek skipperling,Oarisma poweshiek,LE,
Banded killifish,Fundulus diaphanus,,SE
Blacknose shiner,Notropis heterolepis,,SE
Finescale dace,Chrosomus neogaeus,,SE
Longnose sucker,Catostomus catostomus,,ST
Northern pearl dace,Margariscus nachtriebi,,ST
Northern redbelly dace,Chrosomus eos,,ST
Pallid sturgeon,Scaphirhynchus albus,LE,SE
Shovelnose sturgeon,Scaphirhynchus platorynchus ,LT,
Sicklefin chub,Macrhybopsis meeki,,SE
Sturgeon chub,Macrhybopsis gelida,,ST
Topeka shiner,Notropis topeka,LE,
Eastern hognose snake,Heterodon platirhinos,,ST
False map turtle,Graptemys pseudogeographica ,,ST
Lined snake,Tropidoclonion lineatum,,SE
American dipper,Cinclus mexicanus,,ST
Eskimo curlew,Numenius borealis,LE,SE
Least tern,Sternula antillarum ,,SE
Osprey,Pandion haliaetus,,ST
Peregrine falcon,Falco peregrinus,,ST
Piping plover,Charadrius melodus            ,LT,ST
Whooping crane,Grus americana,LE,SE
Rufa Red Knot,Calidris canutus rufa,LT,
Black-footed ferret,Mustela nigripes ,LE,SE
Gray wolf,Canis lupus,LE (statewide),
Northern long-eared bat,Myotis septentrionalis ,LE,
Swift fox,Vulpes velox,,ST
Western prairie fringed orchid ,Platanthera praeclara,LT,
Leedy's Roseroot,Rhosiola integrifolia ssp. leedyi ,LT,
