taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
2482032,Aechmophorus clarkii,Clark's Grebe,G5,S2,S2B,NA,NA,Tier 2,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,2013,2021,0,NA,NA,4
2490268,Anthus spragueii,Sprague's Pipit,G3,SNRN,S2B,NA,NA,Tier 1,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spragueii,NA,NA,NA,0,NA,NA,2,1997,1997,0,NA,NA,46,1920,2022,1,1920,1920,49
2497295,Asio flammeus,Short-eared Owl,G5,S2,"S3B,S3N",NA,NA,Tier 1,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,85,1983,2022,1,2008,2008,86
2497240,Athene cunicularia,Burrowing Owl,G4,S2,S3B,NA,NA,Tier 1,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,NA,NA,NA,18,1992,2015,87,1991,2017,0,NA,NA,370,1983,2023,0,NA,NA,475
2480566,Buteo regalis,Ferruginous Hawk,G4,S2,S3B,NA,NA,Tier 1,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,NA,NA,NA,5,1984,2007,24,1979,2011,0,NA,NA,224,1987,2022,0,NA,NA,253
2491677,Calcarius ornatus,Chestnut-collared Longspur,G5,S3,S4B,NA,NA,Tier 1,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius ornatus,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,74,1882,2022,0,NA,NA,74
8292425,Calidris subruficollis,Buff-breasted Sandpiper,G4,S2N,SNA,NA,NA,Tier 1,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris subruficollis,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,2020,2020,0,NA,NA,1
5959240,Centrocercus urophasianus,Greater Sage-Grouse,G3,SX,S2,NA,NA,NA,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,NA,NA,NA,1,1987,1987,0,NA,NA,0,NA,NA,1,2016,2016,0,NA,NA,2
10783710,Centronyx bairdii,Baird's Sparrow,G4,SNRN,S2B,NA,NA,Tier 1,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx bairdii,NA,NA,NA,0,NA,NA,5,1978,1997,0,NA,NA,18,2009,2019,0,NA,NA,23
10850807,Centronyx henslowii,Henslow's Sparrow,G4,S1,S1B,NA,NA,Tier 1,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,2012,2020,0,NA,NA,9
9581157,Certhia americana,Brown Creeper,G5,S2,"S2B,SNRN",NA,NA,Tier 2,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia americana,NA,NA,NA,2,1992,2009,0,NA,NA,0,NA,NA,67,1986,2022,0,NA,NA,69
2480283,Charadrius melodus,Piping Plover,G3,S2,S3B,Endangered; Threatened,NA,Tier 1,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius melodus,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,2021,2021,0,NA,NA,1
2481119,Chlidonias niger,Black Tern,G4,S1,S3B,NA,NA,Tier 1,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,NA,NA,NA,0,NA,NA,4,1993,1997,0,NA,NA,38,2003,2022,0,NA,NA,42
