taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,r2_ss_list,sd_te,nebraska_swap,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,IMBCR_nObs,IMBCR_minYear,IMBCR_maxYear,sum_nObs,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,Most Recent Occurrence Record,Is the Species Native and Known to Occur,"What is the rationale and supporting BASI for recommending that an observation does not meet the requirements of native to, and known to occur in the plan area?"
2427062,Lithobates blairi,Plains Leopard Frog,G5,S5,S2,NA,USFS R2 Sensitive Species,NA,NA,0,NA,NA,1,Inf,1994,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates blairi,NA,NA,NA,1994,"No, there is insufficient spatial certainty that the observation occurred within the plan area",Does the unit have more info on this species?  South Dakota statewide survey 2004 shows occurnace of this species only on Southeast part of the area.
2427185,Lithobates pipiens,Northern Leopard Frog,G5,S3,S5,NA,USFS R2 Sensitive Species,NA,Tier 2,1,1893,1893,0,NA,NA,0,NA,NA,24,2017,2021,10,2017,2021,0,NA,NA,35,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,NA,NA,NA,NA,Yes,NA
2480589,Accipiter atricapillus,American Goshawk,G5,SNRN,"S2B,SNRN",NA,USFS R2 Sensitive Species,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,2020,2020,0,NA,NA,0,NA,NA,1,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,NA,NA,NA,2020,Yes,NA
2482032,Aechmophorus clarkii,Clark's Grebe,G5,S2,S2B,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,0,NA,NA,1,2015,2015,0,NA,NA,0,NA,NA,1,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii,NA,NA,NA,2021,"No, the species is accidental or transient to the plan area",Only one record during pre-breeding migration period
2491123,Ammodramus savannarum,Grasshopper Sparrow,G5,S4,S4B,NA,USFS R2 Sensitive Species,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,413,1987,2022,1,2014,2014,6299,2009,2023,6713,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,NA,NA,NA,NA,Yes,NA
2490268,Anthus spragueii,Sprague's Pipit,G3,SNRN,S2B,NA,NA,NA,Tier 1,0,NA,NA,2,1997,1997,0,NA,NA,38,2004,2022,0,NA,NA,0,NA,NA,40,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spragueii,NA,NA,NA,NA,Yes,NA
2497295,Asio flammeus,Short-eared Owl,G5,S2,"S3B,S3N",NA,USFS R2 Sensitive Species,NA,Tier 1,0,NA,NA,0,NA,NA,0,NA,NA,47,1983,2022,1,2008,2008,43,2009,2020,91,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,NA,NA,NA,NA,Yes,NA
2497240,Athene cunicularia,Burrowing Owl,G4,S2,S3B,NA,USFS R2 Sensitive Species,NA,Tier 1,14,1992,2007,87,1991,2017,0,NA,NA,183,1990,2022,0,NA,NA,22,2012,2023,306,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,NA,NA,NA,NA,Yes,NA
2480566,Buteo regalis,Ferruginous Hawk,G4,S2,S3B,NA,USFS R2 Sensitive Species,NA,Tier 1,5,1984,2007,23,1979,2011,0,NA,NA,123,1990,2022,0,NA,NA,4,2011,2012,155,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,NA,NA,NA,NA,Yes,NA
2491893,Calamospiza melanocorys,Lark Bunting,G5,S4,S5B,NA,USFS R2 Sensitive Species,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,462,1901,2022,11,1901,2014,1388,2009,2023,1861,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Calamospiza,Calamospiza melanocorys,NA,NA,NA,NA,Yes,NA
2491677,Calcarius ornatus,Chestnut-collared Longspur,G5,S3,S4B,NA,USFS R2 Sensitive Species,NA,Tier 1,0,NA,NA,0,NA,NA,0,NA,NA,58,1882,2022,0,NA,NA,60,2009,2022,118,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius ornatus,NA,NA,NA,NA,Yes,NA
