taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus
2427185,Lithobates pipiens,Northern Leopard Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates
2480589,Accipiter atricapillus,American Goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
2491123,Ammodramus savannarum,Grasshopper Sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus
2490268,Anthus spragueii,Sprague's Pipit,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus
2497295,Asio flammeus,Short-eared Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio
2497240,Athene cunicularia,Burrowing Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene
2480566,Buteo regalis,Ferruginous Hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
2491893,Calamospiza melanocorys,Lark Bunting,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Calamospiza
2491677,Calcarius ornatus,Chestnut-collared Longspur,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius
5959240,Centrocercus urophasianus,Greater Sage-Grouse,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus
10783710,Centronyx bairdii,Baird's Sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx
10850807,Centronyx henslowii,Henslow's Sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx
9581157,Certhia americana,Brown Creeper,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia
2481119,Chlidonias niger,Black Tern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias
2480487,Circus hudsonius,Northern Harrier,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus
2496286,Coccyzus erythropthalmus,Black-billed Cuckoo,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus
2482492,Corvus corax,Common Raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
2498345,Cygnus buccinator,Trumpeter Swan,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus
9813242,Falco columbarius,Merlin,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
2481000,Falco mexicanus,Prairie Falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
