stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,American Goldfinch,0.31338624599999998,-21.49,23.3,0.53036437199999997,6,6.609135423,-17.09,39.47,0.668333333,4,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,0.31,estimated an uncertain,6.61,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 0.31% [95% CL -21.49%, 23.3%, (n=6, f=0.53)] per year and estimated an uncertain median occupancy trend of 6.61% [95% CL -17.09%, 39.47%, (n=4, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,American Goldfinch,-17.659447929999999,-29.8,-4.16,0.99190283400000001,106,-17.47854021,-31.55,-2.08,0.995,76,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-17.66,estimated a decreasing,-17.48,estimated a decreasing,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -17.66% [95% CL -29.8%, -4.16%, (n=106, f=0.992)] per year and estimated a decreasing median occupancy trend of -17.48% [95% CL -31.55%, -2.08%, (n=76, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Goldfinch,-9.2157689470000008,-20.9,1.36,0.97165991900000004,109,-6.428157736,-18.4,6.47,0.881666667,83,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-9.22,estimated a decreasing,-6.43,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a decreasing median density population trend of -9.22% [95% CL -20.9%, 1.36%, (n=109, f=0.972)] per year and estimated an uncertain median occupancy trend of -6.43% [95% CL -18.4%, 6.47%, (n=83, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,American Goldfinch,0.56307404500000002,-14.1,17.31,0.52834008099999996,205,-0.43662692,-15.9,17.25,0.56,112,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,0.56,estimated an uncertain,-0.44,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 0.56% [95% CL -14.1%, 17.31%, (n=205, f=0.528)] per year and estimated an uncertain median occupancy trend of -0.44% [95% CL -15.9%, 17.25%, (n=112, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,American Goldfinch,1.087981895,-13.59,21.97,0.50809716599999999,55,0.21559758,-19.26,20.74,0.523333333,44,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,1.09,estimated an uncertain,0.22,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 1.09% [95% CL -13.59%, 21.97%, (n=55, f=0.508)] per year and estimated an uncertain median occupancy trend of 0.22% [95% CL -19.26%, 20.74%, (n=44, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,American Goldfinch,4.2837554339999997,-19.28,37.21,0.61133603199999997,8,0.938293399,-25.65,33.08,0.501666667,7,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,4.28,estimated an uncertain,0.94,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 4.28% [95% CL -19.28%, 37.21%, (n=8, f=0.611)] per year and estimated an uncertain median occupancy trend of 0.94% [95% CL -25.65%, 33.08%, (n=7, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,American Goldfinch,-15.48889582,-36.38,6.52,0.93522267199999998,13,-13.24172439,-33.35,9.89,0.89,12,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-15.49,estimated a decreasing,-13.24,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated a decreasing median density population trend of -15.49% [95% CL -36.38%, 6.52%, (n=13, f=0.935)] per year and estimated an uncertain median occupancy trend of -13.24% [95% CL -33.35%, 9.89%, (n=12, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,American Bittern,4.9787658280000002,-22.76,38.12,0.57777777799999996,5,5.748272186,-24.64,43.39,0.646,5,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,4.98,estimated an uncertain,5.75,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 4.98% [95% CL -22.76%, 38.12%, (n=5, f=0.578)] per year and estimated an uncertain median occupancy trend of 5.75% [95% CL -24.64%, 43.39%, (n=5, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,American Bittern,5.8143577989999997,-24.3,44,0.64222222200000001,5,6.848354834,-22.09,42.66,0.656,4,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,5.81,estimated an uncertain,6.85,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 5.81% [95% CL -24.3%, 44%, (n=5, f=0.642)] per year and estimated an uncertain median occupancy trend of 6.85% [95% CL -22.09%, 42.66%, (n=4, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,American Coot,-2.5068638829999998,-26.9,26.47,0.57818181800000001,2,-4.723988499,-30.45,23.46,0.68,2,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,-2.51,estimated an uncertain,-4.72,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of -2.51% [95% CL -26.9%, 26.47%, (n=2, f=0.578)] per year and estimated an uncertain median occupancy trend of -4.72% [95% CL -30.45%, 23.46%, (n=2, f=1)] per year from 2013 to 2023"
